Order,Count,Weight
Acipenseriformes,300,48.52609195402299
Amiiformes,796,18.2887281233755
Anguilliformes,10738,1.3557298925504653
Atheriniformes,1166,12.485272372390135
Aulopiformes,1644,8.855126268982298
Batrachoidiformes,1297,11.224230983968308
Beloniformes,986,14.76453102049381
Beryciformes,2431,5.98841118313735
Characiformes,310,46.9607341490545
Clupeiformes,3120,4.665970380194518
Cypriniformes,37620,0.38697043025536676
Cyprinodontiformes,12783,1.1388428057738322
Elopiformes,1147,12.692090310555272
Esociformes,4540,3.206569952909008
Gadiformes,519,28.049764135273403
Gasterosteiformes,2952,4.931513409961686
Gobiesociformes,1040,13.997911140583554
Lepisosteiformes,3763,3.868675946374408
Lophiiformes,1309,11.121335054397935
Osmeriformes,808,18.017113349265962
Perciformes,236071,0.061667157703432
Percopsiformes,331,43.98135222419002
Pleuronectiformes,2307,6.310285039534849
Salmoniformes,16258,0.895425488141647
Scorpaeniformes,16225,0.897246692524308
Siluriformes,10575,1.3766267220999429
Synbranchiformes,225,64.70145593869732
Syngnathiformes,16961,0.858311867590761
Tetraodontiformes,33955,0.42873884806970686
